"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"37","O00148; Q13838","15cm vs 50cm",0.255942112245115,0.105940019827945,2.41591527602869,2,0.136988529344742,0.301252243598056,NA,0.314285714285714,0.314285714285714
"38","O00151","15cm vs 50cm",0.0688061008813647,0.0557405285444162,1.23439986448168,2,0.342412194782083,0.488333787176701,NA,0.18,0.18
"39","O00154","15cm vs 50cm",0.538105696245239,0.0485365890821317,11.0865989230244,2,0.00803789655399023,0.155125478432034,NA,0.345454545454545,0.345454545454545
"40","O00159","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"41","O00161","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"42","O00170","15cm vs 50cm",-0.244378931212807,0.0725791912051843,-3.36706605784485,2,0.0780223736484928,0.242255705385574,NA,0.4,0.4
"43","O00182; Q6DKI2; Q3B8N2","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"44","O00186","15cm vs 50cm",-0.52899043408388,0.400494021860449,-1.32084476973343,2,0.317429881049753,0.468538017430302,NA,0.3,0.3
"45","O00193","15cm vs 50cm",-0.910463518548508,0.389974353924589,-2.33467536874122,2,0.14468182942403,0.311594703890277,NA,0.2,0.2
"46","O00203","15cm vs 50cm",-0.546885345013036,0.42524878302226,-1.28603623772019,2,0.327216209948496,0.475663741693108,NA,0.2,0.2
"47","O00204","15cm vs 50cm",-1.39329186596989,0.177542524211884,-7.8476515536475,2,0.0158524730493474,0.172630578498048,NA,0.333333333333333,0.333333333333333
"48","O00214","15cm vs 50cm",-1.49677071608725,0.0363657782602278,-41.1587703520766,0,NA,NA,NA,0.4,0
"49","O00217","15cm vs 50cm",2.02563458623234,0.123173036664688,16.4454383936858,2,0.00367712594149494,0.12166781113611,NA,0.2,0.2
"50","O00231","15cm vs 50cm",-0.259966234397696,0.188281123275798,-1.38073445640587,2,0.301413367967743,0.453712724965975,NA,0.292307692307692,0.292307692307692
"51","O00232","15cm vs 50cm",-0.0247387074758409,0.028873864521433,-0.856785466229414,2,0.481837027005505,0.61073781120442,NA,0.254545454545455,0.254545454545455
"52","O00233","15cm vs 50cm",0.183262034778245,0.0792330486331404,2.31294943132596,2,0.146840373644641,0.312897474452049,NA,0.2,0.2
"53","O00244","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"54","O00264","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"55","O00273","15cm vs 50cm",-0.462189168957988,0.128031784772723,-3.60995646337702,2,0.0688992490144407,0.234612872281079,NA,0.333333333333333,0.333333333333333
"56","O00299","15cm vs 50cm",0.14005017266823,0.154282102989242,0.907753848014343,2,0.459825048670524,0.591388987539573,NA,0.246153846153846,0.246153846153846
"57","O00303","15cm vs 50cm",0.430654552949573,0.249692623210967,1.72473879048365,2,0.226716327864765,0.388086652407111,NA,0.4,0.4
"58","O00330","15cm vs 50cm",-0.272442220686137,0.368146522764945,-0.740037468342695,2,0.536357368618797,0.646866552785655,NA,0,0
"59","O00401","15cm vs 50cm",-1.06624450460497,0.330408455450255,-3.22704969263565,2,0.0840908212813027,0.247119465187901,NA,0.266666666666667,0.266666666666667
"60","O00410","15cm vs 50cm",0.745613238565753,0.566195948282483,1.31688197491967,1,0.413465868182064,0.552986334264626,NA,0.36,0.16
"61","O00422","15cm vs 50cm",-1.78448768359375,0.0152615858393354,-116.926753378039,1,0.00544447043341334,0.139806393657369,NA,0.2,0
"62","O00429","15cm vs 50cm",0.0304065047671427,0.495862689592468,0.0613204126975811,2,0.956680623538068,0.976825780037302,NA,0.25,0.25
"63","O00442","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"64","O00458","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"65","O00461","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"66","O00468","15cm vs 50cm",0.611649459884733,0.594097372240813,1.02954412603731,2,0.411445056536421,0.551350347224277,NA,0.275,0.275
"67","O00469","15cm vs 50cm",-0.035710910195462,0.268511074182835,-0.13299604235744,1,0.915826058427274,0.949143968692932,NA,0.2,0
"68","O00483","15cm vs 50cm",0.521445141422797,0.107658124420311,4.843528012684,2,0.0400809017486259,0.206194977618777,NA,0.3,0.3
"69","O00487","15cm vs 50cm",-1.09734451452914,0.263630502009793,-4.16243380854456,2,0.0531569850720717,0.220705415123511,NA,0.4,0.4
"70","O00505","15cm vs 50cm",0.368806753256905,0.177924223660247,2.07283047619843,2,0.173943353616385,0.338528525099694,NA,0.4,0.4
"71","O00506; Q9Y6E0; Q9P289","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"72","O00515","15cm vs 50cm",-0.329025757175911,0.100572143779036,-3.27153966110936,2,0.0820912211746834,0.246429130768789,NA,0.214285714285714,0.214285714285714
"73","O00541","15cm vs 50cm",-0.0683635905815472,0.0903480185416317,-0.756669506260901,1,0.587625757257851,0.689242975188184,NA,0.2,0
"74","O00567","15cm vs 50cm",-0.697869934328246,0.339465154331761,-2.05579254725572,2,0.176118294933745,0.34130407666157,NA,0.25,0.25
"75","O00571","15cm vs 50cm",1.49440710676602,0.151003494498743,9.89650677771868,2,0.010056485309466,0.155125478432034,NA,0.3,0.3
"76","O00571; O15523","15cm vs 50cm",-0.581644863114276,0.185923501813082,-3.12840957405713,2,0.0887806136875264,0.252283065578395,NA,0.225,0.225
"77","O00571; O15523; Q92841; P17844","15cm vs 50cm",-0.79383909129539,0.100951549330116,-7.86356521086664,1,0.0805259308058539,0.245703434491638,NA,0.2,0
"78","O00571; Q9NQI0; O15523","15cm vs 50cm",-1.09219964009673,0.170005625734691,-6.42449116243489,2,0.023381873747629,0.186572745999305,NA,0.2,0.2
"79","O00584","15cm vs 50cm",0.0045965468792204,0.0216184243278932,0.212621734567847,1,0.866626970352323,0.914371696959696,NA,0.2,0
"80","O00625","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"81","O00629","15cm vs 50cm",-0.516919161378491,0.111011949863713,-4.65642808736447,2,0.0431568448767514,0.208928611762049,NA,0.1,0.1
"82","O00629; O00505","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"83","O00743","15cm vs 50cm",-1.03948768231942,1.02315563711044,-1.01596242508629,0,NA,NA,NA,0.4,0
"84","O00764","15cm vs 50cm",-0.60142143353307,0.155696489581466,-3.86278094740464,2,0.0609556925782551,0.229996727460005,NA,0.3,0.3
"85","O00767","15cm vs 50cm",1.57423928215245,0.804959479896012,1.95567518796824,0,NA,NA,NA,0.4,0
"86","O14545","15cm vs 50cm",0.651638955139022,0.175733349982284,3.70811206412848,2,0.0656464054795218,0.233551552055302,NA,0.2,0.2
"87","O14548","15cm vs 50cm",-1.28088949731535,0.424880075568352,-3.01470831646302,0,NA,NA,NA,0.4,0
"88","O14556; P04406","15cm vs 50cm",-0.262635440530102,0.654073896629622,-0.401537871918503,2,0.726866008265681,0.804921104391393,NA,0,0
"89","O14561","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"90","O14579","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"91","O14639","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"92","O14737","15cm vs 50cm",-0.552052233963132,0.151336238394757,-3.64785222507724,2,0.0676163139753194,0.234190850379564,NA,0.24,0.24
"93","O14744","15cm vs 50cm",0.435943445377275,0.149310728716806,2.91970609964753,2,0.100016368833917,0.262600581304719,NA,0.333333333333333,0.333333333333333
"94","O14745","15cm vs 50cm",0.0663339410222541,0.0518036619764056,1.28048748855759,2,0.328809756337509,0.476690480084722,NA,0.2,0.2
"95","O14773","15cm vs 50cm",-0.565801941642399,0.20248533303305,-2.79428605107931,2,0.107763738284061,0.271074569039046,NA,0.2,0.2
"96","O14776","15cm vs 50cm",-0.519582501926177,0.455490259556281,-1.14071045653607,2,0.372175634958994,0.515615970864162,NA,0.4,0.4
"97","O14818","15cm vs 50cm",-0.652936297946215,0.224648612999508,-2.90647820713518,2,0.100795484709488,0.262930685430223,NA,0.25,0.25
"98","O14828","15cm vs 50cm",0.156158354448888,0.0669183545226354,2.33356536577818,2,0.144791044940677,0.311594703890277,NA,0.3,0.3
"99","O14896","15cm vs 50cm",-2.26218676755685,0.211219755094304,-10.7101097932191,1,0.0592691769400631,0.228271182666376,NA,0.2,0
"100","O14908","15cm vs 50cm",-0.615960950044787,0.280732899003665,-2.1941174412791,2,0.15946852275559,0.325166469607347,NA,0.4,0.4
"101","O14910; Q9NUP9","15cm vs 50cm",-0.142962365499442,0.213451282350356,-0.669765784141723,1,0.624301974386772,0.721436974070567,NA,0.2,0
"102","O14925; Q5SRD1","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"103","O14929","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"104","O14949","15cm vs 50cm",-0.110140772398051,0.0593431892790593,-1.85599685045773,2,0.204593221529177,0.365527266822504,NA,0.1,0.1
"105","O14950; P19105","15cm vs 50cm",0.130270741483835,0.0469147612827007,2.77675379607807,2,0.108913894395287,0.272464067318176,NA,0.25,0.25
"106","O14964","15cm vs 50cm",-0.828843209584213,0.252416491967834,-3.28363334393314,2,0.0815594744009136,0.246429130768789,NA,0.36,0.36
"107","O14974","15cm vs 50cm",-0.192836487102047,0.254385825000162,-0.758047297257713,2,0.52756897568296,0.642270136528561,NA,0.290909090909091,0.290909090909091
"108","O14979","15cm vs 50cm",0.380537397342531,0.0543239957339325,7.00495963526547,2,0.0197767341473467,0.18049868215255,NA,0.25,0.25
"109","O14980","15cm vs 50cm",0.138685309653728,0.939194422917065,0.147664111146425,2,0.896150273826857,0.937276950000645,NA,0.2,0.2
"110","O15020","15cm vs 50cm",0.420936750793656,9.9813684171288e-05,4217.22486539317,1,0.00015095703472201,0.104755783092445,NA,0.4,0
"111","O15027","15cm vs 50cm",0.2754315312082,0.0646304537785151,4.26163696996601,2,0.0508944863581915,0.219913408356714,NA,0.366666666666667,0.366666666666667
"112","O15031","15cm vs 50cm",-0.451102499084336,0.139324363490847,-3.23778618313209,2,0.0836019246273321,0.246798945888199,NA,0.2,0.2
"113","O15067","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"114","O15118","15cm vs 50cm",0.265232572000796,0.0855875522721167,3.09896199808958,0,NA,NA,NA,0.4,0
"115","O15127","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"116","O15143","15cm vs 50cm",-0.6503838967232,0.255234861505743,-2.54817814810367,2,0.125632899989222,0.288771435998013,NA,0.26,0.26
"117","O15144","15cm vs 50cm",-1.58718041038062,0.115566523154299,-13.7339115780224,2,0.00525986331568484,0.138058330416681,NA,0.114285714285714,0.114285714285714
"118","O15145","15cm vs 50cm",0.465173594842542,0.102263000291368,4.54879666660637,2,0.0450856225941623,0.21185594616927,NA,0.2,0.2
"119","O15160","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"120","O15162","15cm vs 50cm",-0.822622041058333,0.29046823173472,-2.8320551137228,1,0.216090560493804,0.379097104981165,NA,0.2,0
"121","O15195","15cm vs 50cm",-0.489943309734103,0.154830257271679,-3.16438994785371,2,0.0870275281306694,0.251057894442779,NA,0.257142857142857,0.257142857142857
"122","O15212","15cm vs 50cm",-1.67104035609752,0.841972240093256,-1.98467393166363,2,0.185605110625567,0.347144841845406,NA,0.3,0.3
"123","O15230","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"124","O15231","15cm vs 50cm",-0.346524575151878,0.147230969694909,-2.35361198713792,2,0.142836044653155,0.308858681635168,NA,0.241176470588235,0.241176470588235
"125","O15264","15cm vs 50cm",-1.05742763597294,0.191998290999351,-5.50748462639445,1,0.114346019134393,0.279009183733706,NA,0.2,0
"126","O15294","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"127","O15305","15cm vs 50cm",-0.349821733725444,0.272431351283665,-1.28407296765634,0,NA,NA,NA,0.4,0
"128","O15347","15cm vs 50cm",0.537078653473439,0.117921000060721,4.55456325164206,1,0.137593012401889,0.30209487019644,NA,0.366666666666667,0.166666666666667
"129","O15355","15cm vs 50cm",0.0841473324444019,0.211934591778523,0.397043879143325,2,0.729698393900674,0.807124671424215,NA,0.2,0.2
"130","O15371","15cm vs 50cm",-0.706723409564264,0.1205927735383,-5.86041260042674,2,0.0279038402108021,0.188673511394405,NA,0.4,0.4
"131","O15372","15cm vs 50cm",-0.44023464204683,0.234134903754361,-1.88026063174543,2,0.200820507236383,0.361463279004584,NA,0.1,0.1
"132","O15381","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"133","O15382","15cm vs 50cm",-0.311580566390918,0.178066204768441,-1.74980180431262,2,0.22225702559028,0.386121907960429,NA,0.3,0.3
"134","O15400","15cm vs 50cm",-0.594980831803083,0.0387115548036043,-15.3695927436034,2,0.0042065707711112,0.122907369068749,NA,0,0
"135","O15427","15cm vs 50cm",-0.237458692061302,0.140820656400551,-1.68624900728962,1,0.340770075806793,0.486600878924612,NA,0.3,0.1
"136","O15460","15cm vs 50cm",0.476351687506565,0.331921028818583,1.43513560801513,1,0.387430186867629,0.530302339862659,NA,0.4,0.2
"137","O15511","15cm vs 50cm",-0.436627087333473,0.253911474816335,-1.71960360456062,1,0.335325095952195,0.481923413649514,NA,0.4,0.2
"138","O43143","15cm vs 50cm",0.0776878833738377,0.0604513078048334,1.28513155785897,2,0.327475388642601,0.475663741693108,NA,0.3,0.3
"139","O43166","15cm vs 50cm",0.168552435158659,0.159441961479844,1.05713974912412,1,0.482321598048472,0.611012185632278,NA,0.2,0
"140","O43169","15cm vs 50cm",-0.64343998917012,0.537572267494157,-1.19693672474857,0,NA,NA,NA,0.4,0
"141","O43172","15cm vs 50cm",-0.232763322511082,0.43582546860713,-0.534074622244951,2,0.646705853640333,0.741742647431464,NA,0.333333333333333,0.333333333333333
"142","O43175","15cm vs 50cm",-0.784466494500423,0.250709665571688,-3.12898384955211,2,0.0887522378277745,0.252283065578395,NA,0.25,0.25
"143","O43237","15cm vs 50cm",0.599399564885097,0.148393407458822,4.03926006653243,2,0.0561760765061732,0.226708684394322,NA,0.166666666666667,0.166666666666667
"144","O43242","15cm vs 50cm",1.23791496209072,0.342882628063266,3.61031694455606,1,0.172020885668129,0.33577056838669,NA,0.333333333333333,0.133333333333333
"145","O43251; Q9NWB1","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"146","O43252","15cm vs 50cm",-1.28966317829511,0.251563420758628,-5.12659262783887,0,NA,NA,NA,0.4,0
"147","O43272","15cm vs 50cm",-0.987493962353998,0.0973538595994996,-10.1433468217533,2,0.00957991330610808,0.155125478432034,NA,0.32,0.32
"148","O43290","15cm vs 50cm",-0.0881455072569992,0.207424602885165,-0.424952035732225,2,0.712224723193077,0.794589977380773,NA,0.15,0.15
"149","O43291","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"150","O43390","15cm vs 50cm",-0.206437400629639,0.138197457228044,-1.49378581032059,2,0.273816307977896,0.42537652752667,NA,0.233333333333333,0.233333333333333
"151","O43390; O60506","15cm vs 50cm",-0.18897467648675,0.152234717357732,-1.24133758558295,2,0.340322139251327,0.486265928121488,NA,0.266666666666667,0.266666666666667
"152","O43396","15cm vs 50cm",-0.255354780004827,0.218024739898783,-1.17121928512963,2,0.362162227266333,0.508006122390701,NA,0.133333333333333,0.133333333333333
"153","O43399","15cm vs 50cm",0.406802113725987,0.0204048890465127,19.9365021195992,2,0.00250649502193134,0.116577594999623,NA,0.2,0.2
"154","O43402","15cm vs 50cm",0.597208913060407,0.11772694113406,5.07283131038242,2,0.0367319405746622,0.203079209212136,NA,0.1,0.1
"155","O43432; Q04637","15cm vs 50cm",-1.48743951990911,0.402678158284931,-3.69386689917414,2,0.0661045066909725,0.233551552055302,NA,0.333333333333333,0.333333333333333
"156","O43447","15cm vs 50cm",0.0128960917028777,0.352052293848345,0.0366311821516862,2,0.974106527488187,0.987100389571177,NA,0.333333333333333,0.333333333333333
"157","O43488","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"158","O43493","15cm vs 50cm",0.290681283130656,0.15383676786898,1.88954361923558,2,0.199401629435333,0.360407267782104,NA,0,0
"159","O43504","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"160","O43583","15cm vs 50cm",0.40398698263491,0.106569868141407,3.79081807719666,1,0.16419680994345,0.328826476152129,NA,0.2,0
"161","O43598","15cm vs 50cm",0.62652237768931,0.212575985375602,2.94728671529996,2,0.0984191839044657,0.25990419480681,NA,0.2,0.2
"162","O43615","15cm vs 50cm",0.013164068967403,0.590167440626676,0.0223056510088468,2,0.98422948441461,0.993224671372451,NA,0.1,0.1
"163","O43617","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"164","O43633","15cm vs 50cm",0.333513420871546,0.115329399997559,2.89183348633224,2,0.101668144198376,0.263596929042206,NA,0.4,0.4
"165","O43657","15cm vs 50cm",-0.501195038818066,0.501820215553842,-0.998754181843618,1,0.500396803356623,0.623252215581377,NA,0.4,0
"166","O43660","15cm vs 50cm",-0.0052859152008485,0.485765309035927,-0.0108816234970323,2,0.992305757999838,0.997180768223972,NA,0.2,0.2
"167","O43665","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"168","O43670","15cm vs 50cm",0.837558223198368,0.298978670365579,2.80139791301579,0,NA,NA,NA,0.4,0
"169","O43681","15cm vs 50cm",0.205439781577511,0.221937835707323,0.925663625234372,2,0.452342247532998,0.585121355293216,NA,0.2,0.2
"170","O43684","15cm vs 50cm",-0.513346771693085,0.190926006170651,-2.68872104952665,2,0.114959331977488,0.279012052797333,NA,0.1,0.1
"171","O43707","15cm vs 50cm",0.461898794195375,0.0425604778728259,10.8527633448,2,0.00838360931488658,0.155125478432034,NA,0.279069767441861,0.27906976744186
"172","O43715","15cm vs 50cm",0.0635245043425167,0.274942270674468,0.231046700046098,0,NA,NA,NA,0.4,0
"173","O43716","15cm vs 50cm",-0.945282840326841,0.0707120742526568,-13.3680541875962,1,0.0475339391189316,0.216197699111187,NA,0.4,0
"174","O43719","15cm vs 50cm",-0.198296408101848,0.116816801236466,-1.69749904125902,2,0.231696595545009,0.392300550703622,NA,0.3,0.3
"175","O43747","15cm vs 50cm",-0.628127369466319,0.545024827325128,-1.15247478275263,0,NA,NA,NA,0.4,0
"176","O43760","15cm vs 50cm",-0.807612299270385,0.144663357044211,-5.58270121592413,0,NA,NA,NA,0.4,0
"177","O43765","15cm vs 50cm",-0.319910338333547,0.112995729427364,-2.83117193857484,2,0.105399413693546,0.268685977413414,NA,0.2,0.2
"178","O43768","15cm vs 50cm",0.841785561127068,0.0978414201596278,8.60357055073096,1,0.0736642953030731,0.239829898565291,NA,0.3,0.1
"179","O43776","15cm vs 50cm",0.580150363526221,0.219002975502031,2.64905242586916,2,0.117838724808948,0.281709482211151,NA,0.377777777777778,0.377777777777778
"180","O43795","15cm vs 50cm",-0.481414599245095,0.0431301379718542,-11.1619072389533,2,0.00793108316713487,0.155125478432034,NA,0.323076923076923,0.323076923076923
"181","O43809","15cm vs 50cm",-0.951021556876455,0.235663510502652,-4.03550619630505,1,0.154639635063373,0.321018255518923,NA,0.3,0.1
"182","O43815","15cm vs 50cm",0.120051290684326,0.269416099701747,0.445598057492583,2,0.699479320599408,0.784890877226022,NA,0.3,0.3
"183","O43818","15cm vs 50cm",-0.0219715255913305,0.31237724556268,-0.0703365110725447,1,0.955296009556853,0.976725189940994,NA,0.2,0
"184","O43819","15cm vs 50cm",0.0866808221817953,0.203234737326838,0.42650593752778,1,0.743349604651237,0.81651412105534,NA,0.2,0
"185","O43823","15cm vs 50cm",-0.491722273097717,0.44667851332803,-1.10084156373245,0,NA,NA,NA,0.4,0
"186","O43837","15cm vs 50cm",-0.442420915494003,0.331314365455512,-1.33535083782357,2,0.313456717888773,0.465658990281121,NA,0.4,0.4
"187","O43847","15cm vs 50cm",-0.234895687286937,0.444578722652835,-0.528355666427975,1,0.6905556978184,0.778711744348409,NA,0.2,0
"188","O43852","15cm vs 50cm",-0.405225150487863,0.387792366006618,-1.04495391350986,2,0.405731920963868,0.547465291229021,NA,0.142857142857143,0.142857142857143
"189","O43865; Q96HN2","15cm vs 50cm",-0.229027091144456,0.238463281057504,-0.960429170179987,2,0.43818450250462,0.573449200712413,NA,0.15,0.15
"190","O60218","15cm vs 50cm",-1.02546184757967,0.227671880068907,-4.50412166521972,2,0.0459234630612544,0.213590963911426,NA,0.2,0.2
"191","O60218; C9JRZ8","15cm vs 50cm",0.0776094161185574,0.0615664723127755,1.26057922767248,2,0.334604609979526,0.481585075777123,NA,0.24,0.24
"192","O60220","15cm vs 50cm",-0.453159403683294,0.313009882192826,-1.44774791296886,0,NA,NA,NA,0.4,0
"193","O60232","15cm vs 50cm",0.572232825367522,0.251867698307213,2.27195797322747,0,NA,NA,NA,0.4,0
